,District,VDC/Municipality,Urban/Rural,Age,Gender,Marital Status,Caste/ethnicity,Occupation,What is the current status of your home?,1. Are your main reconstruction needs being addressed?,2. Do you have the information you need to access housing reconstruction support?,3. Have you consulted an engineer for your housing reconstruction needs?,5. Have you received any housing reconstruction support (this includes both financial and technical)?,6. Have you been able to commit your own resources?,7.  Are you aware how to build by using safer housing practices?,8. Do you face any barriers to receive support to reconstruct your house?,10. Are you satisfied with grant dispersal process?,"11. Besides building your home, what is the biggest community reconstruction need of your community?","12. Overall, is the post-earthquake reconstruction process making progress?",12. Are your family’s daily food need being met?,13. What is your primary source of income generation now?,14. How much of your own food do you grow?,15. Has damage from the earthquake impacted your livelihood?,16. Do you face any constraints to livelihood recovery?,17. What one skill would you like to develop in support of your livelihood?,18. Do you feel that your source of livelihood would survive another disaster?,19. Have any members of your family been required to migrate to support your family’s recovery?,HRRP_DNAME,HRRP_DCODE
371,Dolakha,Sahare VDC,Rural,55+,Female,Married,Brahmin,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Plan to Consult,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Not very much,Somewhat yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Not very much,No,Dolakha,524 2 04 22
372,Dolakha,Sahare VDC,Rural,55+,Male,Married,Brahmin,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Completely yes,Agriculture / livestock,All,Somewhat yes,Not many,New farming skills,Somewhat yes,No,Dolakha,524 2 04 22
373,Dolakha,Sahare VDC,Rural,25-39,Male,Married,Dalit,Agriculture,Heavily damaged,Not very much,Not very much,Have not consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Roads,Not very much,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Some concern,Carpentry,Not very much,No,Dolakha,524 2 04 22
374,Dolakha,Sahare VDC,Rural,40-54,Female,Married,Janajati,Agriculture,Completely destroyed – rubble not cleared,Not very much,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Some concern,New farming skills,Not at all,No,Dolakha,524 2 04 22
375,Ramechhap,Heledevi VDC,Rural,40-54,Male,Married,Tamang,Shopkeeper,Reconstruction started,Not at all,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Not very much,Water supply,Not very much,Not very much,Business,Little  bit,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
376,Ramechhap,Heledevi VDC,Rural,40-54,Female,Married,Tamang,Shopkeeper,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Not very much,Water supply,Not very much,Not very much,Agriculture / livestock,Half,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
377,Ramechhap,Heledevi VDC,Rural,6-Don’t Know/Refused,Female,Widow/Widower,Tamang,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not at all,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Ramechhap,524 2 04 21
378,Ramechhap,Heledevi VDC,Rural,55+,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Water supply,Not very much,Not very much,Agriculture / livestock,Half,Somewhat yes,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
379,Ramechhap,Heledevi VDC,Rural,15-24,Female,Never Married,Chhetri,Student,Heavily damaged,Not at all,Not very much,Have not consulted,No,Not very much,Not very much,Not very much,Not very much,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not at all, Yes,Ramechhap,524 2 04 21
380,Ramechhap,Heledevi VDC,Rural,25-39,Male,Married,Tamang,Unemployed,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Ramechhap,524 2 04 21
381,Ramechhap,Heledevi VDC,Rural,40-54,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Completely destroyed – rubble not cleared,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Water supply,Somewhat yes,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
382,Ramechhap,Heledevi VDC,Rural,15-24,Female,Never Married,Newar,Student,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Not very much,Not very much,Business,Little  bit,Not very much,Not many,Entrepreneurship,Not at all,No,Ramechhap,524 2 04 21
383,Ramechhap,Heledevi VDC,Rural,25-39,Male,Married,Tamang,"Skilled worker (i.e. carpenter, masons)",Reconstruction started,Not very much,Not very much,Have not consulted,No,Not very much,Not very much,Somewhat yes,Not very much,Water supply,Not very much,Not very much,Agriculture / livestock,Little  bit,Somewhat yes,Some concern,New farming skills,Not very much, Yes,Ramechhap,524 2 04 21
384,Ramechhap,Heledevi VDC,Rural,40-54,Male,Married,Tamang,Shopkeeper,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Not very much,Water supply,Somewhat yes,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
385,Ramechhap,Heledevi VDC,Rural,55+,Female,Married,Tamang,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Not very much,Water supply,Not very much,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
386,Ramechhap,Heledevi VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not at all,Not very much,Water supply,Not very much,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
387,Ramechhap,Manthali Municipality,Urban,40-54,Male,Married,Dalit,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Not very much,Somewhat yes,Cash for work,Half,Somewhat yes,Some concern,Entrepreneurship,Not very much, Yes,Ramechhap,524 2 04 21
388,Ramechhap,Manthali Municipality,Urban,15-24,Female,Never Married,Brahmin,Private sector job,Heavily damaged,Not very much,Not very much,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Not very much,Business,Little  bit,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
389,Ramechhap,Manthali Municipality,Urban,55+,Male,Married,Brahmin,Student,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Community Centre,Not very much,Not very much,Cash for work,Half,Not very much,Some concern,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
390,Ramechhap,Manthali Municipality,Urban,25-39,Female,Married,Brahmin,Agriculture,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Not very much,Water supply,Somewhat yes,Somewhat yes,Business,Half,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
391,Ramechhap,Manthali Municipality,Urban,55+,Female,Married,Brahmin,Agriculture,Reconstruction started,Not at all,Not very much,Have Consulted,Yes,Not very much,Not very much,Somewhat yes,Not very much,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
392,Ramechhap,Manthali Municipality,Urban,40-54,Female,Married,Newar,Home maker/ Housewife,Reconstruction started,Somewhat yes,Not very much,Have not consulted,Yes,Somewhat yes,Not very much,Not very much,Not very much,Water supply,Not very much,Not very much,Business,Half,Not very much,Not many,Tailoring,Not at all,No,Ramechhap,524 2 04 21
393,Ramechhap,Manthali Municipality,Urban,40-54,Male,Married,Newar,Shopkeeper,Heavily damaged,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Completely yes,Roads,Completely yes,Completely yes,Tea shop/shop,Most,Completely yes,A lot of concern,New farming skills,Not at all,No,Ramechhap,524 2 04 21
394,Ramechhap,Manthali Municipality,Urban,15-24,Female,Never Married,Brahmin,Private sector job,Reconstruction started,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Completely yes,Water supply,Completely yes,Completely yes,Agriculture / livestock,Half,Completely yes,A lot of concern,Computer training,Not at all,No,Ramechhap,524 2 04 21
395,Ramechhap,Manthali Municipality,Urban,25-39,Female,Married,Brahmin,Home maker/ Housewife,Reconstruction started,Completely yes,Somewhat yes,Have Consulted,Yes,Completely yes,Completely yes,Not at all,Somewhat yes,Water supply,Completely yes,Completely yes,Agriculture / livestock,Half,Completely yes,A lot of concern,New farming skills,Somewhat yes,No,Ramechhap,524 2 04 21
396,Ramechhap,Manthali Municipality,Urban,25-39,Male,Married,Newar,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not at all,Completely yes,Water supply,Completely yes,Completely yes,Agriculture / livestock,Most,Completely yes,Some concern,New farming skills,Not at all,No,Ramechhap,524 2 04 21
397,Ramechhap,Manthali Municipality,Urban,25-39,Male,Married,Brahmin,Private sector job,Heavily damaged,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Somewhat yes,Trails/lane,Completely yes,Completely yes,Construction work,Most,Completely yes,A lot of concern,Entrepreneurship,Completely yes,No,Ramechhap,524 2 04 21
398,Ramechhap,Manthali Municipality,Urban,25-39,Female,Never Married,Brahmin,Student,Heavily damaged,Somewhat yes,Completely yes,Have Consulted,Yes,Not at all,Completely yes,Not at all,Completely yes,Water supply,Completely yes,Completely yes,Agriculture / livestock,Half,Completely yes,A lot of concern,Entrepreneurship,Not at all,No,Ramechhap,524 2 04 21
399,Ramechhap,Manthali Municipality,Urban,25-39,Female,Married,Newar,Agriculture,Heavily damaged,Not at all,Completely yes,Have Consulted,"Not yet, but expected",Not at all,Somewhat yes,Completely yes,Not at all,Water supply,Completely yes,Completely yes,Agriculture / livestock,Most,Completely yes,A lot of concern,New farming skills,Somewhat yes,No,Ramechhap,524 2 04 21
400,Ramechhap,Manthali Municipality,Urban,40-54,Male,Married,Brahmin,Other,Heavily damaged,Completely yes,Completely yes,Have Consulted,Yes,Not at all,Somewhat yes,Not at all,Completely yes,Roads,Not very much,Completely yes,Agriculture / livestock,Most,Completely yes,A lot of concern,New farming skills,Somewhat yes,No,Ramechhap,524 2 04 21
401,Ramechhap,Manthali Municipality,Urban,25-39,Male,Married,Chhetri,Government job,Heavily damaged,Somewhat yes,Completely yes,Have Consulted,Yes,Completely yes,Completely yes,Not at all,Completely yes,Water supply,Somewhat yes,Completely yes,Government job,Half,Completely yes,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
402,Ramechhap,Manthali Municipality,Urban,40-54,Female,Married,Chhetri,Agriculture,Heavily damaged,Completely yes,Completely yes,Have Consulted,Yes,Not at all,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,All,Completely yes,A lot of concern,Tailoring,Completely yes, Yes,Ramechhap,524 2 04 21
403,Ramechhap,Manthali Municipality,Urban,55+,Male,Married,Chhetri,Government job,Heavily damaged,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Government job,All,Completely yes,Not at all,Other building skills,Completely yes, Yes,Ramechhap,524 2 04 21
404,Ramechhap,Manthali Municipality,Urban,40-54,Female,Married,Chhetri,Agriculture,Completely destroyed - rubble cleared,Completely yes,Somewhat yes,Have Consulted,Yes,Not at all,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,A lot of concern,New farming skills,Somewhat yes,No,Ramechhap,524 2 04 21
405,Ramechhap,Manthali Municipality,Urban,55+,Male,Married,Chhetri,Agriculture,Reconstruction started,Not at all,Completely yes,Have Consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Completely yes,Not at all,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,All,Completely yes,A lot of concern,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
406,Ramechhap,Manthali Municipality,Urban,40-54,Female,Married,Brahmin,Agriculture,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
407,Ramechhap,Manthali Municipality,Urban,55+,Male,Married,Chhetri,Agriculture,Completely destroyed – rubble not cleared,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Most,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
408,Ramechhap,Manthali Municipality,Urban,55+,Female,Married,Chhetri,Home maker/ Housewife,Reconstruction started,Not at all,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all, Yes,Ramechhap,524 2 04 21
409,Ramechhap,Manthali Municipality,Urban,55+,Male,Married,Chhetri,Public Sector Job,Completely destroyed – rubble not cleared,Not at all,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Water supply,Not very much,Somewhat yes,Government job,Half,Not very much,Not many,New farming skills,Not very much, Yes,Ramechhap,524 2 04 21
410,Ramechhap,Manthali Municipality,Urban,40-54,Female,Married,Chhetri,Shopkeeper,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Water supply,Not very much,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
411,Ramechhap,Manthali Municipality,Urban,55+,Male,Married,Chhetri,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Not very much,Water supply,Not very much,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not at all,No,Ramechhap,524 2 04 21
412,Ramechhap,Rasnalu VDC,Rural,55+,Male,Married,Sherpa,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Roads,Not very much,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
413,Ramechhap,Rasnalu VDC,Rural,6-Don’t Know/Refused,Female,Widow/Widower,Sherpa,Home maker/ Housewife,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Trails/lane,Not very much,Not very much,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all, Yes,Ramechhap,524 2 04 21
414,Ramechhap,Rasnalu VDC,Rural,25-39,Female,Never Married,Sherpa,Agriculture,Reconstruction started,Not at all,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Trails/lane,Not very much,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,Driving,Not very much,No,Ramechhap,524 2 04 21
415,Ramechhap,Rasnalu VDC,Rural,55+,Male,Widow/Widower,Sherpa,Agriculture,Minor damaged,Not at all,Not at all,Have not consulted,No,Not very much,Not very much,Somewhat yes,Not very much,Integrated settlement,Not very much,Not very much,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not very much,Don’t know / Refused,Ramechhap,524 2 04 21
416,Ramechhap,Rasnalu VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Reconstruction completed,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
417,Ramechhap,Rasnalu VDC,Rural,40-54,Female,Married,Tamang,Shopkeeper,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Integrated settlement,Not very much,Somewhat yes,Tea shop/shop,Little  bit,Not very much,Not many,Entrepreneurship,Not at all,No,Ramechhap,524 2 04 21
418,Ramechhap,Rasnalu VDC,Rural,55+,Male,Married,Tamang,Private sector job,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Government Offices,Somewhat yes,Somewhat yes,Teaching,Little  bit,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
419,Ramechhap,Rasnalu VDC,Rural,25-39,Male,Married,Sherpa,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Not at all,Completely yes,Plan to Consult,"Not yet, but expected",Not at all,Completely yes,Completely yes,Not at all,Water supply,Completely yes,Completely yes,Masonry,Most,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
420,Ramechhap,Rasnalu VDC,Rural,25-39,Female,Never Married,Sherpa,Agriculture,Heavily damaged,Completely yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,A lot of concern,Tailoring,Somewhat yes,No,Ramechhap,524 2 04 21
421,Ramechhap,Rasnalu VDC,Rural,55+,Male,Married,Sherpa,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Trails/lane,Completely yes,Completely yes,Agriculture / livestock,Most,Not very much,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
422,Ramechhap,Rasnalu VDC,Rural,40-54,Female,Married,Sherpa,Agriculture,Heavily damaged,Completely yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Trails/lane,Completely yes,Completely yes,Agriculture / livestock,Most,Not very much,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
423,Ramechhap,Rasnalu VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not at all,Somewhat yes,Not at all,Completely yes,Trails/lane,Completely yes,Completely yes,Agriculture / livestock,Most,Not at all,A lot of concern,Masonry,Completely yes,No,Ramechhap,524 2 04 21
424,Ramechhap,Rasnalu VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction started,Completely yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Completely yes,Trails/lane,Completely yes,Completely yes,Agriculture / livestock,All,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
425,Ramechhap,Rasnalu VDC,Rural,40-54,Male,Married,Janajati,Agriculture,Minor damaged,Completely yes,Completely yes,Have Consulted,Yes,Not at all,Somewhat yes,Not at all,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Completely yes,Agriculture / livestock,All,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
426,Ramechhap,Rasnalu VDC,Rural,40-54,Male,Married,Janajati,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Somewhat yes,Completely yes,Have Consulted,Yes,Not at all,Somewhat yes,Not at all,Completely yes,Water supply,Somewhat yes,Completely yes,Masonry,All,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
427,Ramechhap,Rasnalu VDC,Rural,25-39,Female,Widow/Widower,Janajati,Agriculture,Heavily damaged,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Somewhat yes,Roads,Somewhat yes,Completely yes,Agriculture / livestock,All,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
428,Ramechhap,Rasnalu VDC,Rural,25-39,Male,Married,Janajati,Agriculture,Heavily damaged,Completely yes,Completely yes,Have Consulted,No,Completely yes,Completely yes,Completely yes,Not at all,Roads,Somewhat yes,Completely yes,Agriculture / livestock,All,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
429,Ramechhap,Rasnalu VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Heavily damaged,Completely yes,Somewhat yes,Have Consulted,Yes,Not at all,Completely yes,Not at all,Completely yes,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
430,Ramechhap,Rasnalu VDC,Rural,25-39,Female,Never Married,Tamang,Student,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Not very much,Government Offices,Not very much,Not very much,Business,Little  bit,Not very much,Not many,Entrepreneurship,Not at all,No,Ramechhap,524 2 04 21
431,Ramechhap,Rasnalu VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Government Offices,Not very much,Not very much,Cash for work,Little  bit,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
432,Ramechhap,Rasnalu VDC,Rural,55+,Male,Widow/Widower,Tamang,Agriculture,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Government Offices,Not very much,Not very much,Agriculture / livestock,Little  bit,Not at all,Not at all,New farming skills,Not very much,No,Ramechhap,524 2 04 21
433,Ramechhap,Rasnalu VDC,Rural,25-39,Male,Married,Tamang,Public Sector Job,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Government Offices,Not very much,Not very much,Agriculture / livestock,Half,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
434,Ramechhap,Namadi VDC,Rural,40-54,Female,Married,Janajati,Agriculture,Reconstruction started,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Somewhat yes,Water supply,Completely yes,Completely yes,Agriculture / livestock,Most,Not at all,Not at all,New farming skills,Somewhat yes,No,Ramechhap,524 2 04 21
435,Ramechhap,Namadi VDC,Rural,40-54,Male,Married,Chhetri,"Skilled worker (i.e. carpenter, masons)",Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Completely yes,Water supply,Completely yes,Completely yes,Masonry,Most,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
436,Ramechhap,Namadi VDC,Rural,40-54,Male,Married,Janajati,"Skilled worker (i.e. carpenter, masons)",Reconstruction started,Completely yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Water supply,Completely yes,Completely yes,Masonry,Most,Not at all,Not at all,Masonry,Completely yes,No,Ramechhap,524 2 04 21
437,Ramechhap,Namadi VDC,Rural,40-54,Female,Married,Chhetri,Agriculture,Heavily damaged,Not at all,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Roads,Completely yes,Completely yes,Agriculture / livestock,All,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
438,Ramechhap,Namadi VDC,Rural,40-54,Male,Married,Chhetri,Agriculture,Heavily damaged,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Somewhat yes,Water supply,Completely yes,Completely yes,Agriculture / livestock,Most,Not at all,Not at all,New farming skills,Somewhat yes,No,Ramechhap,524 2 04 21
439,Ramechhap,Namadi VDC,Rural,55+,Female,Married,Chhetri,Agriculture,Heavily damaged,Completely yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Roads,Completely yes,Completely yes,Agriculture / livestock,All,Not at all,Not at all,New farming skills,Somewhat yes,No,Ramechhap,524 2 04 21
440,Ramechhap,Namadi VDC,Rural,55+,Male,Married,Tamang,Agriculture,Heavily damaged,Not at all,Somewhat yes,Have Consulted,Yes,Not at all,Somewhat yes,Not at all,Completely yes,Trails/lane,Somewhat yes,Completely yes,Masonry,All,Not at all,Not at all,New farming skills,Somewhat yes,No,Ramechhap,524 2 04 21
441,Ramechhap,Namadi VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Completely yes,Somewhat yes,Not at all,Completely yes,Water supply,Completely yes,Completely yes,Masonry,All,Not at all,Not at all,New farming skills,Somewhat yes, Yes,Ramechhap,524 2 04 21
442,Ramechhap,Namadi VDC,Rural,55+,Male,Married,Chhetri,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Others,Completely yes,Completely yes,Agriculture / livestock,All,Not at all,Not at all,Other building skills,Not at all,No,Ramechhap,524 2 04 21
443,Ramechhap,Namadi VDC,Rural,55+,Male,Married,Janajati,Agriculture,Reconstruction completed,Completely yes,Somewhat yes,Have Consulted,Yes,Completely yes,Completely yes,Not at all,Completely yes,Trails/lane,Completely yes,Completely yes,Agriculture / livestock,All,Not at all,A lot of concern,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
444,Ramechhap,Namadi VDC,Rural,55+,Female,Widow/Widower,Janajati,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Not very much,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Ramechhap,524 2 04 21
445,Ramechhap,Namadi VDC,Rural,40-54,Male,Married,Janajati,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Completely yes,Trails/lane,Completely yes,Completely yes,Masonry,All,Not at all,Not at all,New farming skills,Completely yes,No,Ramechhap,524 2 04 21
446,Ramechhap,Namadi VDC,Rural,40-54,Male,Married,Janajati,"Skilled worker (i.e. carpenter, masons)",Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Roads,Not very much,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not very much,No,Ramechhap,524 2 04 21
447,Ramechhap,Namadi VDC,Rural,40-54,Male,Married,Chhetri,Government job,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Government Offices,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Entrepreneurship,Not very much,No,Ramechhap,524 2 04 21
